#Gene          	Label     	Location                      	Source    	Strand    
A1CF           	CD        	chr10:50799421-50885675       	CGC_v.96  	neg       
PDZRN3         	NG        	chr3:73382431-73624941        	DORGE     	neg       
COL6A1         	NG        	chr21:45981770-46005048       	DORGE     	pos       
ADAMTS5        	NG        	chr21:26917922-26967088       	DORGE     	neg       
HIAT1          	NG        	chr1:100038095-100083377      	DORGE     	pos       
SOLH           	NG        	chr16:527712-554636           	DORGE     	pos       
ANKHD1-EIF4EBP3	NG        	chr5:140401908-140549569      	DORGE     	pos       
PTX3           	NG        	chr3:157436850-157443633      	DORGE     	pos       
TYW1B          	NG        	chr7:72574513-72828200        	DORGE     	neg       
DCUN1D4        	NG        	chr4:51843153-51916837        	DORGE     	pos       
RGL2           	NG        	chr6:33291654-33298942        	DORGE     	neg       
HLX            	NG        	chr1:220879443-220885059      	DORGE     	pos       
SYDE2          	NG        	chr1:85156889-85201016        	DORGE     	neg       
LRRC27         	NG        	chr10:132332193-132381508     	DORGE     	pos       
ARHGAP11B      	NG        	chr15:30625966-30649529       	DORGE     	pos       
KIRREL         	NG        	chr1:157993645-158100262      	DORGE     	pos       
WDR44          	NG        	chrX:118346106-118449961      	DORGE     	pos       
LSS            	NG        	chr21:46188141-46228822       	DORGE     	neg       
C6ORF120       	NG        	chr6:169702190-169704856      	DORGE     	pos       
FAM179B        	NG        	chr14:44962190-45074431       	DORGE     	pos       
PCNX           	NG        	chr14:70907459-71115382       	DORGE     	pos       
TRMT1L         	NG        	chr1:185118101-185156953      	DORGE     	neg       
SNAPC1         	NG        	chr14:61762420-61796428       	DORGE     	pos       
BTBD11         	NG        	chr12:107319898-107610320     	DORGE     	pos       
RAB32          	NG        	chr6:146543833-146554953      	DORGE     	pos       
H1FX           	NG        	chr3:129314771-129316286      	DORGE     	pos       
COL6A2         	NG        	chr21:46098112-46132848       	DORGE     	pos       
ITPRIPL2       	NG        	chr16:19114383-19121629       	DORGE     	pos       
ARL4D          	NG        	chr17:43398993-43401137       	DORGE     	pos       
NPAS2          	NG        	chr2:100820139-100996829      	DORGE     	pos       
TMEM200B       	NG        	chr1:29119429-29123903        	DORGE     	neg       
EMD            	NG        	chrX:154379295-154381523      	DORGE     	pos       
METTL12        	NG        	chr11:62665312-62668108       	DORGE     	pos       
LONRF1         	NG        	chr8:12721906-12755526        	DORGE     	neg       
SPATA5L1       	NG        	chr15:45402336-45421415       	DORGE     	pos       
SGIP1          	NG        	chr1:66534153-66751139        	DORGE     	pos       
TRIM26         	NG        	chr6:30184455-30213427        	DORGE     	neg       
ADO            	NG        	chr10:62804720-62808479       	DORGE     	pos       
CAPN10         	NG        	chr2:240586734-240599104      	DORGE     	pos       
SLC1A4         	NG        	chr2:64989399-65023865        	DORGE     	pos       
HSPB6          	NG        	chr19:35754566-35757029       	DORGE     	neg       
TMEM57         	NG        	chr1:25430897-25500209        	DORGE     	pos       
ZNF394         	NG        	chr7:99493249-99504857        	DORGE     	neg       
PRSS23         	NG        	chr11:86800542-86811233       	DORGE     	pos       
SH3RF3         	NG        	chr2:109129205-109504634      	DORGE     	pos       
DGKH           	NG        	chr13:42048648-42242896       	DORGE     	pos       
GNB4           	NG        	chr3:179396088-179451470      	DORGE     	neg       
MSL3           	NG        	chrX:11758159-11775747        	DORGE     	pos       
NAGK           	NG        	chr2:71068648-71079808        	DORGE     	pos       
ZFP30          	NG        	chr19:37631009-37655412       	DORGE     	neg       
ZNF697         	NG        	chr1:119619377-119648266      	DORGE     	neg       
PIEZO1         	NG        	chr16:88715338-88785220       	DORGE     	neg       
ZNF850         	NG        	chr19:36743480-36772807       	DORGE     	neg       
C16ORF80       	NG        	chr16:58113592-58129381       	DORGE     	neg       
RNF219         	NG        	chr13:78614289-78659155       	DORGE     	neg       
TPRA1          	NG        	chr3:127571266-127598267      	DORGE     	neg       
CRAMP1L        	NG        	chr16:1612360-1677908         	DORGE     	pos       
VLDLR          	NG        	chr9:2622100-2654480          	DORGE     	pos       
AGAP11         	NG        	chr10:86970741-87010126       	DORGE     	pos       
ANKH           	NG        	chr5:14704800-14871778        	DORGE     	neg       
PDE3A          	NG        	chr12:20368537-20688583       	DORGE     	pos       
KCNJ2          	NG        	chr17:70169532-70180044       	DORGE     	pos       
ATPAF2         	NG        	chr17:18018021-18039168       	DORGE     	neg       
ATOH8          	NG        	chr2:85753991-85791383        	DORGE     	pos       
C4ORF3         	NG        	chr4:119296419-119300645      	DORGE     	neg       
GBA            	NG        	chr1:155234452-155244670      	DORGE     	pos       
TMEM107        	NG        	chr17:8172457-8176380         	DORGE     	neg       
GORAB          	NG        	chr1:170532166-170553834      	DORGE     	pos       
SLC6A15        	NG        	chr12:84859491-84912799       	DORGE     	neg       
ZNF770         	NG        	chr15:34978341-34988287       	DORGE     	neg       
ZNF460         	NG        	chr19:57280485-57294069       	DORGE     	pos       
C17ORF70       	NG        	chr17:81539891-81552353       	DORGE     	neg       
PPP1R3D        	NG        	chr20:59936663-59940305       	DORGE     	pos       
LENG1          	NG        	chr19:54155161-54159721       	DORGE     	neg       
ITPR3          	NG        	chr6:33620365-33696574        	DORGE     	pos       
BMPER          	NG        	chr7:33904911-34155872        	DORGE     	pos       
HOXA2          	NG        	chr7:27100354-27102683        	DORGE     	neg       
THAP8          	NG        	chr19:36034984-36054285       	DORGE     	neg       
DLG4           	NG        	chr17:7190561-7218305         	DORGE     	neg       
BOC            	NG        	chr3:113211482-113287459      	DORGE     	pos       
ARFGAP1        	NG        	chr20:63272865-63289344       	DORGE     	pos       
CNDP2          	NG        	chr18:74496363-74523454       	DORGE     	pos       
RAB3A          	NG        	chr19:18196784-18204042       	DORGE     	neg       
NDNL2          	NG        	chr15:29264989-29269822       	DORGE     	neg       
PDDC1          	NG        	chr11:767222-777487           	DORGE     	neg       
PPAPDC2        	NG        	chr9:4662294-4665258          	DORGE     	pos       
C9ORF89        	NG        	chr9:93096217-93113283        	DORGE     	pos       
ARL8A          	NG        	chr1:202133404-202144737      	DORGE     	neg       
ACVR2B         	NG        	chr3:38453890-38493142        	DORGE     	pos       
GTF3C5         	NG        	chr9:133030997-133058503      	DORGE     	pos       
NDUFAF3        	NG        	chr3:49022121-49023495        	DORGE     	pos       
DALRD3         	NG        	chr3:49015488-49018580        	DORGE     	neg       
C17ORF49       	NG        	chr17:7014782-7017520         	DORGE     	pos       
SLC41A1        	NG        	chr1:205789095-205813198      	DORGE     	neg       
ZNF41          	NG        	chrX:47445879-47482946        	DORGE     	neg       
CRTAP          	NG        	chr3:33114014-33147773        	DORGE     	pos       
ZNF574         	NG        	chr19:42070366-42081549       	DORGE     	pos       
OGFRL1         	NG        	chr6:71288811-71309059        	DORGE     	pos       
ZNF34          	NG        	chr8:144773114-144787304      	DORGE     	neg       
C18ORF54       	NG        	chr18:54357906-54382034       	DORGE     	pos       
SLC1A3         	NG        	chr5:36606606-36688334        	DORGE     	pos       
SPSB2          	NG        	chr12:6870935-6873303         	DORGE     	neg       
TMEM167B       	NG        	chr1:109090764-109096934      	DORGE     	pos       
DEGS1          	NG        	chr1:224183240-224193441      	DORGE     	pos       
DNAJC27        	NG        	chr2:24943642-24971955        	DORGE     	neg       
C21ORF59       	NG        	chr21:32599354-32612377       	DORGE     	neg       
TMEM187        	NG        	chrX:153972754-153983194      	DORGE     	pos       
ZNF529         	NG        	chr19:36543613-36573292       	DORGE     	neg       
ECI2           	NG        	chr6:4115706-4135597          	DORGE     	neg       
TIMM13         	NG        	chr19:2425625-2427586         	DORGE     	pos       
KIAA0430       	NG        	chr16:15594387-15643154       	DORGE     	neg       
RIMKLB         	NG        	chr12:8697922-8777191         	DORGE     	pos       
CHMP2B         	NG        	chr3:87227309-87255556        	DORGE     	pos       
COG1           	NG        	chr17:73193055-73208507       	DORGE     	pos       
DCLK2          	NG        	chr4:150079026-150256036      	DORGE     	pos       
INSIG2         	NG        	chr2:118088471-118110997      	DORGE     	pos       
RNPEPL1        	NG        	chr2:240568484-240581372      	DORGE     	pos       
IRX1           	NG        	chr5:3595832-3601403          	DORGE     	pos       
PGM2           	NG        	chr4:37826686-37862937        	DORGE     	pos       
ZBTB22         	NG        	chr6:33314406-33317942        	DORGE     	neg       
TMUB1          	NG        	chr7:151081085-151083493      	DORGE     	neg       
SP9            	NG        	chr2:174334954-174338500      	DORGE     	pos       
ZNF747         	NG        	chr16:30532306-30535004       	DORGE     	neg       
CLCN6          	NG        	chr1:11806191-11843130        	DORGE     	pos       
RDH10          	NG        	chr8:73294602-73325281        	DORGE     	pos       
PRH1           	NG        	chr12:10880965-10884253       	DORGE     	neg       
STAM2          	NG        	chr2:152116801-152175763      	DORGE     	neg       
LENG9          	NG        	chr19:54461732-54463778       	DORGE     	pos       
ANKRD37        	NG        	chr4:185396841-185400241      	DORGE     	pos       
SMG9           	NG        	chr19:43727983-43754962       	DORGE     	neg       
TPRG1L         	NG        	chr1:3625015-3630127          	DORGE     	pos       
PLEKHH3        	NG        	chr17:42667914-42676994       	DORGE     	neg       
LEMD2          	NG        	chr6:33771213-33789130        	DORGE     	neg       
GMPPA          	NG        	chr2:219498891-219506989      	DORGE     	pos       
PER2           	NG        	chr2:238244044-238288610      	DORGE     	neg       
FAM189B        	NG        	chr1:155247205-155255483      	DORGE     	neg       
KIF16B         	NG        	chr20:16272104-16573448       	DORGE     	neg       
NPHP3          	NG        	chr3:132680609-132722409      	DORGE     	neg       
MAOA           	NG        	chrX:43656299-43746817        	DORGE     	pos       
SLC4A2         	NG        	chr7:151058212-151076526      	DORGE     	pos       
TRIM38         	NG        	chr6:25962802-25991231        	DORGE     	pos       
INTS12         	NG        	chr4:105682627-105709108      	DORGE     	neg       
IMPA2          	NG        	chr18:11981507-12030877       	DORGE     	pos       
SFT2D2         	NG        	chr1:168226004-168253021      	DORGE     	pos       
RBM24          	NG        	chr6:17281361-17293871        	DORGE     	pos       
PEX1           	NG        	chr7:92487025-92528520        	DORGE     	neg       
MIER2          	NG        	chr19:301444-344782           	DORGE     	neg       
SCD5           	NG        	chr4:82629539-82798796        	DORGE     	neg       
UFSP1          	NG        	chr7:100888843-100889499      	DORGE     	pos       
LAMB2          	NG        	chr3:49121114-49133118        	DORGE     	neg       
HIP1R          	NG        	chr12:122835457-122862961     	DORGE     	pos       
SNX21          	NG        	chr20:45833895-45841730       	DORGE     	pos       
PCNXL3         	NG        	chr11:65615773-65637439       	DORGE     	pos       
SAMD1          	NG        	chr19:14087851-14090751       	DORGE     	neg       
QTRTD1         	NG        	chr3:114056737-114088422      	DORGE     	pos       
SLC4A11        	NG        	chr20:3227417-3237727         	DORGE     	neg       
WDR75          	NG        	chr2:189441474-189475552      	DORGE     	pos       
FUZ            	NG        	chr19:49806866-49813292       	DORGE     	neg       
BPGM           	NG        	chr7:134646811-134679808      	DORGE     	pos       
CBR4           	NG        	chr4:168987590-169010255      	DORGE     	neg       
NEURL4         	NG        	chr17:7315628-7329335         	DORGE     	neg       
DDAH1          	NG        	chr1:85318485-85465159        	DORGE     	neg       
OSTC           	NG        	chr4:108650599-108667820      	DORGE     	pos       
PSRC1          	NG        	chr1:109279557-109283168      	DORGE     	neg       
TMEM19         	NG        	chr12:71686082-71705047       	DORGE     	pos       
NES            	NG        	chr1:156668763-156677407      	DORGE     	neg       
SLC2A13        	NG        	chr12:39755025-40106081       	DORGE     	neg       
SYCE1L         	NG        	chr16:77199408-77213215       	DORGE     	pos       
HEBP2          	NG        	chr6:138404223-138422197      	DORGE     	pos       
ZNHIT6         	NG        	chr1:85649417-85708433        	DORGE     	neg       
ZNF213         	NG        	chr16:3134923-3142803         	DORGE     	pos       
SNX30          	NG        	chr9:112750760-112874987      	DORGE     	pos       
PPA2           	NG        	chr4:105369077-105474062      	DORGE     	neg       
PLA2G12A       	NG        	chr4:109709989-109730070      	DORGE     	neg       
NDNF           	NG        	chr4:121035613-121072535      	DORGE     	neg       
SAMM50         	NG        	chr22:43955442-43996529       	DORGE     	pos       
TRMT61B        	NG        	chr2:28849821-28870309        	DORGE     	neg       
TUFT1          	NG        	chr1:151540309-151583583      	DORGE     	pos       
FUT10          	NG        	chr8:33370824-33473146        	DORGE     	neg       
TBKBP1         	NG        	chr17:47695264-47712050       	DORGE     	pos       
TOMM7          	NG        	chr7:22812974-22822849        	DORGE     	neg       
ZNF248         	NG        	chr10:37828765-37858084       	DORGE     	neg       
KATNAL1        	NG        	chr13:30202630-30307551       	DORGE     	neg       
MPV17L2        	NG        	chr19:18193218-18196948       	DORGE     	pos       
DCAF16         	NG        	chr4:17800655-17810757        	DORGE     	neg       
CREM           	NG        	chr10:35127460-35212958       	DORGE     	pos       
GDF11          	NG        	chr12:55743122-55757264       	DORGE     	pos       
HTATSF1        	NG        	chrX:136497079-136512342      	DORGE     	pos       
FGD1           	NG        	chrX:54445454-54496234        	DORGE     	neg       
CHPF2          	NG        	chr7:151232499-151238827      	DORGE     	pos       
SESTD1         	NG        	chr2:179101678-179264832      	DORGE     	neg       
VAMP2          	NG        	chr17:8159149-8162948         	DORGE     	neg       
ZNF606         	NG        	chr19:57977053-58003349       	DORGE     	neg       
GPR108         	NG        	chr19:6729914-6737603         	DORGE     	neg       
ZFP82          	NG        	chr19:36388630-36418644       	DORGE     	neg       
CCDC109B       	NG        	chr4:109560246-109688719      	DORGE     	pos       
SMIM4          	NG        	chr3:52536605-52541890        	DORGE     	pos       
GPR126         	NG        	chr6:142301859-142446254      	DORGE     	pos       
OTX1           	NG        	chr2:63050057-63057836        	DORGE     	pos       
MBLAC1         	NG        	chr7:100126967-100128495      	DORGE     	pos       
NARG2          	NG        	chr15:60419609-60479142       	DORGE     	neg       
NTF3           	NG        	chr12:5432108-5495299         	DORGE     	pos       
C10ORF137      	NG        	chr10:125719709-125764139     	DORGE     	pos       
PDE10A         	NG        	chr6:165331404-165987935      	DORGE     	neg       
C12ORF44       	NG        	chr12:52069971-52077494       	DORGE     	pos       
ZXDB           	NG        	chrX:57591652-57597545        	DORGE     	pos       
DHCR7          	NG        	chr11:71434411-71448393       	DORGE     	neg       
PAAF1          	NG        	chr11:73876999-73931114       	DORGE     	pos       
LMBR1          	NG        	chr7:156677791-156893183      	DORGE     	neg       
C16ORF58       	NG        	chr16:31489471-31508391       	DORGE     	neg       
ZNF700         	NG        	chr19:11925107-11950763       	DORGE     	pos       
POFUT2         	NG        	chr21:45263928-45287898       	DORGE     	neg       
ZNF48          	NG        	chr16:30395419-30400108       	DORGE     	pos       
LRRC47         	NG        	chr1:3778559-3796498          	DORGE     	neg       
ZNF561         	NG        	chr19:9607329-9621232         	DORGE     	neg       
SMPDL3A        	NG        	chr6:122789258-122809720      	DORGE     	pos       
NTNG1          	NG        	chr1:107140007-107481849      	DORGE     	pos       
LIN7A          	NG        	chr12:80792520-80937925       	DORGE     	neg       
CLN6           	NG        	chr15:68206992-68229728       	DORGE     	neg       
ZNF362         	NG        	chr1:33256492-33300719        	DORGE     	pos       
ZNF555         	NG        	chr19:2841475-2860471         	DORGE     	pos       
ZNF181         	NG        	chr19:34734243-34745378       	DORGE     	pos       
GPR162         	NG        	chr12:6821821-6827421         	DORGE     	pos       
POGK           	NG        	chr1:166839475-166856359      	DORGE     	pos       
GPR37          	NG        	chr7:124743885-124765792      	DORGE     	neg       
MED7           	NG        	chr5:157137424-157142865      	DORGE     	neg       
PMVK           	NG        	chr1:154924740-154936719      	DORGE     	neg       
ZNF789         	NG        	chr7:99472890-99487605        	DORGE     	pos       
CRELD1         	NG        	chr3:9933834-9945406          	DORGE     	pos       
PROSAPIP1      	NG        	chr20:3162618-3173592         	DORGE     	neg       
SERINC2        	NG        	chr1:31413213-31434678        	DORGE     	pos       
KIAA1715       	NG        	chr2:175923882-176002267      	DORGE     	neg       
ZNF674         	NG        	chrX:46497727-46545441        	DORGE     	neg       
MTMR9          	NG        	chr8:11284816-11328146        	DORGE     	pos       
TFAM           	NG        	chr10:58385410-58399220       	DORGE     	pos       
PEX26          	NG        	chr22:18077923-18105396       	DORGE     	pos       
NUDT16         	NG        	chr3:131381774-131388830      	DORGE     	pos       
C19ORF60       	NG        	chr19:18588796-18592336       	DORGE     	pos       
ORC5           	NG        	chr7:104126341-104208013      	DORGE     	neg       
MFN1           	NG        	chr3:179347709-179394936      	DORGE     	pos       
STBD1          	NG        	chr4:76306026-76311599        	DORGE     	pos       
THUMPD2        	NG        	chr2:39736061-39779258        	DORGE     	neg       
KTI12          	NG        	chr1:52032103-52033810        	DORGE     	neg       
NOL11          	NG        	chr17:67717936-67744531       	DORGE     	pos       
GLTP           	NG        	chr12:109850945-109880541     	DORGE     	neg       
ELMO2          	NG        	chr20:46366055-46406632       	DORGE     	neg       
TLCD1          	NG        	chr17:28724348-28726233       	DORGE     	neg       
CYP20A1        	NG        	chr2:203239018-203306026      	DORGE     	pos       
PTGFR          	NG        	chr1:78303884-78539749        	DORGE     	pos       
SELK           	NG        	chr3:53884417-53891859        	DORGE     	neg       
HEATR2         	NG        	chr7:726699-786475            	DORGE     	pos       
ZNF616         	NG        	chr19:52113091-52139938       	DORGE     	neg       
ZNF581         	NG        	chr19:55635459-55645622       	DORGE     	pos       
EPM2A          	NG        	chr6:145625305-145735520      	DORGE     	neg       
MTHFD2L        	NG        	chr4:74158173-74303099        	DORGE     	pos       
ATP13A1        	NG        	chr19:19645198-19663676       	DORGE     	neg       
MPV17          	NG        	chr2:27309492-27323097        	DORGE     	neg       
ZDBF2          	NG        	chr2:206274663-206314427      	DORGE     	pos       
EFHC1          	NG        	chr6:52420342-52497198        	DORGE     	pos       
TSPO           	NG        	chr22:43151559-43163242       	DORGE     	pos       
C7ORF49        	NG        	chr7:135165785-135170707      	DORGE     	neg       
NUDT19         	NG        	chr19:32691821-32713792       	DORGE     	pos       
NKX3-2         	NG        	chr4:13540830-13544508        	DORGE     	neg       
HIST1H2BH      	NG        	chr6:26251651-26253710        	DORGE     	pos       
ODF2L          	NG        	chr1:86348738-86396340        	DORGE     	neg       
LYPLAL1        	NG        	chr1:219173878-219212858      	DORGE     	pos       
RFXAP          	NG        	chr13:36819222-36829104       	DORGE     	pos       
ZNF816         	NG        	chr19:52949385-52962881       	DORGE     	neg       
PKIA           	NG        	chr8:78516340-78605267        	DORGE     	pos       
METTL10        	NG        	chr10:124757834-124791887     	DORGE     	neg       
TOR3A          	NG        	chr1:179082070-179095996      	DORGE     	pos       
C3ORF17        	NG        	chr3:113002444-113019671      	DORGE     	neg       
PLXNA3         	NG        	chrX:154458281-154477779      	DORGE     	pos       
PUSL1          	NG        	chr1:1308597-1311677          	DORGE     	pos       
REXO1          	NG        	chr19:1815248-1848483         	DORGE     	neg       
ZNF805         	NG        	chr19:57240632-57262728       	DORGE     	pos       
LRFN3          	NG        	chr19:35936374-35946624       	DORGE     	pos       
C2ORF69        	NG        	chr2:199911293-199928273      	DORGE     	pos       
ZNF837         	NG        	chr19:58367623-58381030       	DORGE     	neg       
TMCC2          	NG        	chr1:205256201-205273343      	DORGE     	pos       
KIAA0226       	NG        	chr3:197668867-197736904      	DORGE     	neg       
SLC35E4        	NG        	chr22:30635781-30647893       	DORGE     	pos       
CNTNAP1        	NG        	chr17:42682531-42699993       	DORGE     	pos       
C1RL           	NG        	chr12:7094554-7109214         	DORGE     	neg       
JRK            	NG        	chr8:142657460-142669967      	DORGE     	neg       
C21ORF67       	NG        	chr21:44933315-44939937       	DORGE     	neg       
C12ORF73       	NG        	chr12:103951282-103965708     	DORGE     	neg       
AGPAT6         	NG        	chr8:41578200-41625001        	DORGE     	pos       
URB1           	NG        	chr21:32311018-32393012       	DORGE     	neg       
CCDC107        	NG        	chr9:35658290-35661499        	DORGE     	pos       
APEX2          	NG        	chrX:55000363-55009057        	DORGE     	pos       
ZNF749         	NG        	chr19:57435325-57447101       	DORGE     	pos       
ZNF230         	NG        	chr19:44002957-44013924       	DORGE     	pos       
TCHH           	NG        	chr1:152106317-152115454      	DORGE     	neg       
C5ORF38        	NG        	chr5:2752131-2755081          	DORGE     	pos       
KCNE4          	NG        	chr2:223051814-223055637      	DORGE     	pos       
OXTR           	NG        	chr3:8750381-8769613          	DORGE     	neg       
CNIH           	NG        	chr14:54423561-54441374       	DORGE     	neg       
SLC25A38       	NG        	chr3:39383370-39397351        	DORGE     	pos       
LRPAP1         	NG        	chr4:3503612-3532422          	DORGE     	neg       
ZNF836         	NG        	chr19:52154107-52171621       	DORGE     	neg       
PGS1           	NG        	chr17:78378649-78424659       	DORGE     	pos       
SLC1A1         	NG        	chr9:4490468-4587469          	DORGE     	pos       
ZC3H6          	NG        	chr2:112275601-112340063      	DORGE     	pos       
SPNS1          	NG        	chr16:28974778-28984543       	DORGE     	pos       
ZNF583         	NG        	chr19:56404332-56427364       	DORGE     	pos       
MYNN           	NG        	chr3:169773396-169789716      	DORGE     	pos       
TCEAL8         	NG        	chrX:103252995-103255185      	DORGE     	neg       
HIST1H2BN      	NG        	chr6:27837760-27839482        	DORGE     	pos       
ZNF778         	NG        	chr16:89217703-89237141       	DORGE     	pos       
SRRD           	NG        	chr22:26483877-26494658       	DORGE     	pos       
PDCL3          	NG        	chr2:100562993-100576739      	DORGE     	pos       
TMEM14B        	NG        	chr6:10747805-10756981        	DORGE     	pos       
WDR55          	NG        	chr5:140664904-140672345      	DORGE     	pos       
ZNF775         	NG        	chr7:150379330-150398630      	DORGE     	pos       
TLL1           	NG        	chr4:165873237-166104457      	DORGE     	pos       
MEFV           	NG        	chr16:3242027-3256633         	DORGE     	neg       
PPT2           	NG        	chr6:32153577-32163678        	DORGE     	pos       
ZNF329         	NG        	chr19:58126248-58150789       	DORGE     	neg       
DNAI1          	NG        	chr9:34458805-34520984        	DORGE     	pos       
HMCN1          	NG        	chr1:185734391-186190949      	DORGE     	pos       
FAM188A        	NG        	chr10:15778174-15860507       	DORGE     	neg       
ASB6           	NG        	chr9:129634605-129642151      	DORGE     	neg       
KIAA1279       	NG        	chr10:68988803-69016982       	DORGE     	pos       
HPS3           	NG        	chr3:149129638-149173732      	DORGE     	pos       
HIST1H2AL      	NG        	chr6:27865317-27865798        	DORGE     	pos       
SEC22C         	NG        	chr3:42547969-42581967        	DORGE     	neg       
SCAND3         	NG        	chr13:35185294-35186679       	DORGE     	pos       
CENPC1         	NG        	chr4:67468762-67545503        	DORGE     	neg       
SERPINB8       	NG        	chr18:63970029-63989371       	DORGE     	pos       
C18ORF32       	NG        	chr18:49477250-49487252       	DORGE     	neg       
GET4           	NG        	chr7:876554-896436            	DORGE     	pos       
ZNF699         	NG        	chr19:9291140-9309838         	DORGE     	neg       
KDELR1         	NG        	chr19:48382575-48391551       	DORGE     	neg       
ARHGEF9        	NG        	chrX:63634967-63755113        	DORGE     	neg       
GBX2           	NG        	chr2:236165236-236168386      	DORGE     	neg       
TMEM168        	NG        	chr7:112762377-112790393      	DORGE     	neg       
ZNF197         	NG        	chr3:44625036-44648471        	DORGE     	pos       
CLN5           	NG        	chr13:76990660-77005117       	DORGE     	pos       
MRPL44         	NG        	chr2:223957463-223967714      	DORGE     	pos       
PCBD2          	NG        	chr5:134905120-134969660      	DORGE     	pos       
FSBP           	NG        	chr8:94427716-94436944        	DORGE     	neg       
SPICE1         	NG        	chr3:113442718-113515156      	DORGE     	neg       
SNCA           	NG        	chr4:89724099-89838315        	DORGE     	neg       
ACSF2          	NG        	chr17:50426218-50474837       	DORGE     	pos       
MRPL34         	NG        	chr19:17292633-17306543       	DORGE     	pos       
DYNC2H1        	NG        	chr11:103109426-103479863     	DORGE     	pos       
RRNAD1         	NG        	chr1:156728469-156736960      	DORGE     	pos       
CHRM2          	NG        	chr7:136868669-137020255      	DORGE     	neg       
DNAJC22        	NG        	chr12:49346888-49353690       	DORGE     	pos       
NOLC1          	NG        	chr10:102152404-102162600     	DORGE     	pos       
PPP1R3F        	NG        	chrX:49269793-49288090        	DORGE     	pos       
ANKMY2         	NG        	chr7:16599779-16645754        	DORGE     	neg       
FAHD2A         	NG        	chr2:95402708-95416616        	DORGE     	pos       
TMEM99         	NG        	chr17:40819122-40836266       	DORGE     	pos       
HAUS8          	NG        	chr19:17049729-17075452       	DORGE     	neg       
ZNF792         	NG        	chr19:34956354-34964229       	DORGE     	neg       
ZNF597         	NG        	chr16:3432414-3443504         	DORGE     	pos       
VMA21          	NG        	chrX:151397206-151409364      	DORGE     	pos       
C19ORF26       	NG        	chr19:1228287-1238027         	DORGE     	neg       
PPOX           	NG        	chr1:161166410-161171218      	DORGE     	pos       
GDF6           	NG        	chr8:96142333-96160806        	DORGE     	neg       
ABHD8          	NG        	chr19:17292131-17303425       	DORGE     	neg       
MYL6B          	NG        	chr12:56152256-56157982       	DORGE     	pos       
SLC36A4        	NG        	chr11:93144174-93197991       	DORGE     	neg       
FKBP7          	NG        	chr2:178463664-178478600      	DORGE     	neg       
UFSP2          	NG        	chr4:185399540-185425979      	DORGE     	neg       
MOCOS          	NG        	chr18:36187497-36272157       	DORGE     	pos       
FAM65B         	NG        	chr6:24797373-24809798        	DORGE     	neg       
MFAP2          	NG        	chr1:16974502-16980620        	DORGE     	neg       
EBPL           	NG        	chr13:49660674-49691486       	DORGE     	neg       
ZNF512         	NG        	chr2:27583042-27623217        	DORGE     	pos       
ZNF12          	NG        	chr7:6688433-6706947          	DORGE     	neg       
TMEM194B       	NG        	chr2:190504338-190534722      	DORGE     	neg       
TECPR1         	NG        	chr7:98214624-98252232        	DORGE     	neg       
ZNF44          	NG        	chr19:12271808-12294883       	DORGE     	neg       
PAQR8          	NG        	chr6:52362151-52407777        	DORGE     	pos       
HDDC3          	NG        	chr15:90930918-90935130       	DORGE     	neg       
ZNF785         	NG        	chr16:30580656-30585697       	DORGE     	neg       
SGCB           	NG        	chr4:52020706-52038299        	DORGE     	neg       
ZNF614         	NG        	chr19:52013324-52028379       	DORGE     	neg       
FAM171B        	NG        	chr2:186694060-186765959      	DORGE     	pos       
ZNF337         	NG        	chr20:25673195-25696853       	DORGE     	neg       
ZNF575         	NG        	chr19:43533204-43535735       	DORGE     	pos       
SLC2A11        	NG        	chr22:23856703-23886309       	DORGE     	pos       
CDADC1         	NG        	chr13:49247925-49293485       	DORGE     	pos       
TBCCD1         	NG        	chr3:186546073-186570543      	DORGE     	neg       
ZNF432         	NG        	chr19:52031378-52048838       	DORGE     	neg       
JKAMP          	NG        	chr14:59484517-59505410       	DORGE     	pos       
FAM58A         	NG        	chrX:153587925-153599139      	DORGE     	neg       
AGRN           	NG        	chr1:1020120-1056116          	DORGE     	pos       
ZNF75D         	NG        	chrX:135285791-135344109      	DORGE     	neg       
ZNF613         	NG        	chr19:51927472-51946621       	DORGE     	pos       
NBPF15         	NG        	chr1:144421390-144461647      	DORGE     	neg       
HIST1H2AD      	NG        	chr6:26198784-26199293        	DORGE     	neg       
ZNF552         	NG        	chr19:57807082-57814913       	DORGE     	neg       
TEX264         	NG        	chr3:51671175-51704322        	DORGE     	pos       
KCNG1          	NG        	chr20:51003656-51023107       	DORGE     	neg       
ZNF790         	NG        	chr19:36818322-36850787       	DORGE     	neg       
CNOT10         	NG        	chr3:32685145-32773875        	DORGE     	pos       
NDUFS5         	NG        	chr1:39026318-39034636        	DORGE     	pos       
GABRE          	NG        	chrX:151953124-151974676      	DORGE     	neg       
PLIN3          	NG        	chr19:4838341-4867667         	DORGE     	neg       
BMS1           	NG        	chr10:42782795-42834937       	DORGE     	pos       
ZNF696         	NG        	chr8:143291417-143299952      	DORGE     	pos       
ZNF33A         	NG        	chr10:38010675-38060087       	DORGE     	pos       
DGAT1          	NG        	chr8:144314584-144326852      	DORGE     	neg       
PIGB           	NG        	chr15:55319222-55355648       	DORGE     	pos       
PDCL           	NG        	chr9:122818097-122828588      	DORGE     	neg       
ZNF765         	NG        	chr19:53395149-53412009       	DORGE     	pos       
